Title,Duration,Artist,Album,Scrobles,Year,Added_Date,Genre,Released_Date
Moanin',9:31,Art Blakey & The Jazz Messengers,Moanin' (Remastered),,1957,07.11.2018 21:15,Джаз,01.01.1957
"Лебединое озеро, соч. 20, 3 акт: 23. Мазурка",3:09,Государственный симфонический оркестр Санкт-Петербурга & Андрей Аниханов,Альбом классических танцев,,2006,07.11.2018 20:41,Классическая музыка,14.03.2006
"Лебединое озеро, соч. 20, 3 акт: 22. Неополитанский танец",1:57,Государственный симфонический оркестр Санкт-Петербурга & Андрей Аниханов,Альбом классических танцев,,2006,07.11.2018 20:32,Классическая музыка,14.03.2006
"Лебединое озеро, соч. 20, 2 акт: 21. Испанский танец",2:09,Государственный симфонический оркестр Санкт-Петербурга & Андрей Аниханов,Альбом классических танцев,,2006,07.11.2018 20:30,Classical,14.03.2006
"Четыре норвежских танца, соч. 35",2:39,"Государственный симфонический оркестр ""Классика""",Альбом классических танцев,1,2006,07.11.2018 20:28,Классическая музыка,14.03.2006
"Пер Гюнт сюита № 1, соч. 46: 3. Танец Анитры",3:51,Академический симфонический оркестр Санкт-Петербургской филармонии & Владимир Альтшулер,Альбом классических танцев,1,2006,07.11.2018 20:24,Классическая музыка,14.03.2006
"Лебединое озеро, соч. 20, 2 акт: 13. Танец маленьких лебедей",1:29,Государственный симфонический оркестр Санкт-Петербурга & Андрей Аниханов,Альбом классических танцев,2,1994,07.11.2018 20:24,Классическая музыка,15.05.1994
Арагонская хота,8:58,Оркестр Петергоф & Лео Корхин,Альбом классических танцев,1,2006,07.11.2018 20:15,Классическая музыка,14.03.2006
"Swing Low, Sweet Chariot",3:09,Louis Armstrong and His Orchestra,Louis and the Good Book (Mono Version),4,1958,06.11.2018 21:00,Джаз,01.01.1958
Белая,1:28,Луперкаль,Sarcasm (Mixtape),4,2016,06.11.2018 14:33,Хип-хоп/рэп,08.05.2016
Фудзи,1:26,Луперкаль,Sarcasm (Mixtape),2,2016,06.11.2018 14:33,Хип-хоп/рэп,08.05.2016
Гонзо,2:50,Луперкаль,Sarcasm (Mixtape),1,2016,06.11.2018 14:33,Хип-хоп/рэп,08.05.2016
Франкенштейн (Ремикс),2:23,Луперкаль,Sarcasm (Mixtape),3,2016,06.11.2018 14:33,Хип-хоп/рэп,08.05.2016
ШМЭП,2:16,Луперкаль,Sarcasm (Mixtape),3,2016,06.11.2018 14:33,Хип-хоп/рэп,08.05.2016
